category,encoded_value
agro_industria_e_comercio,0
alimentos,1
"alimentos,beleza_saude",2
"alimentos,cama_mesa_banho",3
"alimentos,eletronicos",4
"alimentos,esporte_lazer",5
"alimentos,pet_shop",6
"alimentos,telefonia_fixa",7
alimentos_bebidas,8
"alimentos_bebidas,esporte_lazer",9
"alimentos_bebidas,utilidades_domesticas",10
artes,11
"artes,moveis_decoracao",12
"artes,papelaria",13
artes_e_artesanato,14
"artes_e_artesanato,brinquedos",15
"artes_e_artesanato,ferramentas_jardim",16
artigos_de_festas,17
"artigos_de_festas,cama_mesa_banho",18
artigos_de_natal,19
"artigos_de_natal,automotivo",20
audio,21
"audio,relogios_presentes",22
automotivo,23
"automotivo,bebes",24
"automotivo,bebidas",25
"automotivo,beleza_saude",26
"automotivo,cama_mesa_banho",27
"automotivo,cama_mesa_banho,cool_stuff",28
"automotivo,casa_conforto_2",29
"automotivo,consoles_games",30
"automotivo,construcao_ferramentas_construcao",31
"automotivo,cool_stuff",32
"automotivo,eletronicos",33
"automotivo,esporte_lazer",34
"automotivo,fashion_bolsas_e_acessorios,instrumentos_musicais",35
"automotivo,ferramentas_jardim",36
"automotivo,informatica_acessorios",37
"automotivo,malas_acessorios",38
"automotivo,moveis_decoracao",39
"automotivo,nan",40
"automotivo,relogios_presentes",41
"automotivo,telefonia",42
"automotivo,utilidades_domesticas",43
bebes,44
"bebes,beleza_saude",45
"bebes,brinquedos",46
"bebes,cama_mesa_banho",47
"bebes,cama_mesa_banho,cool_stuff",48
"bebes,cama_mesa_banho,moveis_decoracao",49
"bebes,cama_mesa_banho,nan",50
"bebes,construcao_ferramentas_iluminacao",51
"bebes,construcao_ferramentas_seguranca",52
"bebes,cool_stuff",53
"bebes,esporte_lazer",54
"bebes,fashion_bolsas_e_acessorios",55
"bebes,fashion_calcados",56
"bebes,ferramentas_jardim",57
"bebes,la_cuisine",58
"bebes,livros_interesse_geral",59
"bebes,malas_acessorios",60
"bebes,moveis_decoracao",61
"bebes,moveis_quarto",62
"bebes,moveis_sala",63
"bebes,relogios_presentes",64
"bebes,sinalizacao_e_seguranca",65
"bebes,utilidades_domesticas",66
bebidas,67
"bebidas,beleza_saude",68
"bebidas,esporte_lazer",69
"bebidas,utilidades_domesticas",70
beleza_saude,71
"beleza_saude,brinquedos",72
"beleza_saude,cama_mesa_banho",73
"beleza_saude,construcao_ferramentas_construcao",74
"beleza_saude,cool_stuff",75
"beleza_saude,eletroportateis",76
"beleza_saude,esporte_lazer",77
"beleza_saude,esporte_lazer,informatica_acessorios",78
"beleza_saude,fashion_bolsas_e_acessorios",79
"beleza_saude,livros_tecnicos",80
"beleza_saude,malas_acessorios",81
"beleza_saude,market_place",82
"beleza_saude,moveis_decoracao",83
"beleza_saude,nan",84
"beleza_saude,papelaria",85
"beleza_saude,perfumaria",86
"beleza_saude,relogios_presentes",87
"beleza_saude,telefonia",88
"beleza_saude,utilidades_domesticas",89
brinquedos,90
"brinquedos,cama_mesa_banho",91
"brinquedos,consoles_games",92
"brinquedos,construcao_ferramentas_construcao",93
"brinquedos,cool_stuff",94
"brinquedos,esporte_lazer",95
"brinquedos,instrumentos_musicais",96
"brinquedos,moveis_cozinha_area_de_servico_jantar_e_jardim",97
"brinquedos,moveis_sala",98
"brinquedos,nan",99
"brinquedos,papelaria",100
"brinquedos,perfumaria",101
"brinquedos,relogios_presentes",102
"brinquedos,telefonia",103
cama_mesa_banho,104
"cama_mesa_banho,casa_conforto",105
"cama_mesa_banho,casa_conforto,moveis_decoracao",106
"cama_mesa_banho,construcao_ferramentas_iluminacao,ferramentas_jardim",107
"cama_mesa_banho,construcao_ferramentas_jardim",108
"cama_mesa_banho,construcao_ferramentas_seguranca",109
"cama_mesa_banho,cool_stuff",110
"cama_mesa_banho,eletrodomesticos_2",111
"cama_mesa_banho,eletronicos",112
"cama_mesa_banho,esporte_lazer,nan",113
"cama_mesa_banho,ferramentas_jardim",114
"cama_mesa_banho,informatica_acessorios",115
