product_category_name,Số đơn,Tổng doanh thu,TB doanh thu,Độ lệch chuẩn,Min,Max
beleza_saude,8426,1245344.47,147.8,211.04,4.4,6248.0
relogios_presentes,5359,1194350.48,222.87,293.13,8.99,4800.0
cama_mesa_banho,8932,1051829.77,117.76,117.21,7.5,1999.98
esporte_lazer,7381,978578.99,132.58,200.29,5.49,5814.0
informatica_acessorios,6394,906598.03,141.79,246.05,3.9,9520.14
moveis_decoracao,6033,722420.73,119.74,134.54,6.57,3003.0
utilidades_domesticas,5523,626228.47,113.39,177.13,5.31,6735.0
cool_stuff,3456,623061.73,180.28,204.75,11.99,3109.99
automotivo,3714,595527.79,160.35,266.02,3.49,3976.0
ferramentas_jardim,3331,481248.41,144.48,254.6,6.35,4557.6
brinquedos,3701,477010.49,128.89,148.49,4.9,2960.0
bebes,2678,406515.2,151.8,290.38,3.54,7798.0
perfumaria,3015,398158.58,132.06,121.66,4.99,2397.6
telefonia,4019,321137.62,79.9,161.34,5.0,2799.93
moveis_escritorio,1234,277372.36,224.78,203.15,25.0,3039.62
pcs,176,237142.62,1347.4,941.52,34.5,7799.4
papelaria,2200,226640.32,103.02,93.66,2.29,1727.0
pet_shop,1647,216017.98,131.16,169.83,2.9,2498.0
instrumentos_musicais,597,199715.77,334.53,666.42,4.9,10856.1
eletroportateis,595,190950.93,320.93,593.81,6.5,7998.0
fashion_bolsas_e_acessorios,1779,157162.53,88.34,121.09,6.0,2179.0
eletronicos,2466,156605.19,63.51,141.08,3.99,2470.5
consoles_games,998,154432.64,154.74,269.98,5.18,4099.99
malas_acessorios,989,140670.97,142.24,131.6,13.33,2395.8
construcao_ferramentas_construcao,703,140087.29,199.27,320.54,0.85,3327.2
eletrodomesticos_2,221,115327.0,521.84,661.76,13.9,6019.86
eletrodomesticos,735,83170.79,113.16,202.99,6.19,2108.0
agro_industria_e_comercio,175,81464.58,465.51,945.32,12.99,9888.0
casa_construcao,447,80201.54,179.42,211.48,8.97,2759.94
moveis_sala,395,69009.37,174.71,192.93,13.9,1649.5
telefonia_fixa,210,55896.48,266.17,1084.62,6.0,13440.0
casa_conforto,337,54702.45,162.32,135.21,6.99,1216.6
climatizacao,240,53453.28,222.72,264.68,10.9,1599.0
audio,338,50121.7,148.29,168.24,14.9,999.98
portateis_casa_forno_e_cafe,70,47037.56,671.97,654.24,10.19,2899.0
moveis_cozinha_area_de_servico_jantar_e_jardim,230,46752.1,203.27,227.18,18.5,1668.0
livros_interesse_geral,479,43440.33,90.69,112.74,6.0,1049.8
construcao_ferramentas_seguranca,148,38314.79,258.88,389.11,8.9,3099.9
construcao_ferramentas_iluminacao,222,37745.55,170.02,140.39,12.51,1290.0
industria_comercio_e_negocios,220,37529.41,170.59,271.3,27.9,3089.0
alimentos,425,28242.82,66.45,48.25,9.99,299.8
market_place,261,27660.06,105.98,142.8,9.99,1964.0
fashion_calcados,233,24268.86,104.16,79.92,25.9,699.8
artes,186,23494.99,126.32,471.95,9.0,6499.0
construcao_ferramentas_jardim,172,23221.64,135.01,162.03,10.91,770.0
sinalizacao_e_seguranca,133,21027.53,158.1,287.39,5.95,2919.4
bebidas,271,20716.46,76.44,185.54,6.0,2849.9
moveis_quarto,87,20262.8,232.91,226.94,6.9,1440.0
livros_tecnicos,244,18088.54,74.13,65.66,9.95,384.93
construcao_ferramentas_ferramentas,97,16072.9,165.7,314.66,6.8,2198.0
alimentos_bebidas,215,15968.04,74.27,102.0,6.5,862.24
"cama_mesa_banho,moveis_decoracao",66,14426.62,218.59,129.3,43.89,635.38
fashion_roupa_masculina,106,11286.12,106.47,84.93,14.9,419.4
fashion_underwear_e_moda_praia,117,10094.65,86.28,63.41,3.9,366.0
"cama_mesa_banho,casa_conforto",42,9241.99,220.05,106.24,81.8,650.0
artigos_de_natal,123,8732.19,70.99,81.27,5.5,701.4
tablets_impressao_imagem,76,7587.41,99.83,102.52,14.9,889.99
"cama_mesa_banho,utilidades_domesticas",20,6589.76,329.49,594.21,38.89,2305.38
musica,36,6180.33,171.68,236.84,7.7,1165.97
cine_foto,57,6077.23,106.62,140.19,6.8,873.99
"bebes,cool_stuff",19,5918.46,311.5,255.74,85.9,1265.89
dvds_blu_ray,54,4887.56,90.51,221.83,8.9,1420.0
moveis_colchao_e_estofado,36,4661.28,129.48,109.46,44.7,498.0
