total_freight_value,total_payment,payment_installments,total_price
18.17,208.07,4.0,189.9
18.37,178.27,5.0,159.9
23.91,119.19,2.0,95.28
19.57,229.47,8.0,209.9
18.45,99.7,3.0,81.25
16.14,215.14,1.0,199.0
16.01,195.9,8.0,179.89
9.63,135.62,2.0,125.99
10.37,209.37,4.0,199.0
13.97,232.97,6.0,219.0
17.13,307.12,1.0,279.9
8.95,93.95,1.0,85.0
18.44,67.44,6.0,49.0
15.1,61.09,2.0,45.99
16.57,132.09,3.0,115.52
15.74,105.73,5.0,89.99
16.45,115.45,3.0,99.0
39.18,146.32,3.0,104.0
18.87,128.87,1.0,110.0
18.26,163.25,1.0,144.99
13.18,88.07,1.0,74.89
14.1,37.09,1.0,22.99
7.39,21.29,1.0,13.9
18.09,138.08,1.0,119.99
17.75,204.75,1.0,187.0
16.11,36.1,2.0,19.99
8.88,118.88,1.0,110.0
13.38,64.28,3.0,50.9
8.27,23.17,1.0,14.9
14.24,84.14,2.0,69.9
13.89,138.89,2.0,125.0
7.78,21.43,1.0,13.65
13.37,36.18,2.0,22.81
15.1,65.1,1.0,50.0
15.1,60.7,3.0,45.6
16.8,133.56,1.0,49.98
9.82,45.82,2.0,36.0
7.6,56.6,1.0,49.0
8.72,32.61,1.0,23.89
17.69,293.59,2.0,275.9
17.88,112.88,1.0,95.0
17.84,217.49,3.0,199.65
19.53,68.43,1.0,48.9
16.11,64.01,3.0,47.9
21.4,209.3,4.0,187.9
15.11,50.1,1.0,34.99
16.16,166.15,1.0,149.99
18.68,175.13,2.0,156.45
8.0,44.49,1.0,36.49
7.78,57.68,1.0,49.9
14.1,33.1,2.0,19.0
22.73,292.72,4.0,269.99
7.78,47.77,2.0,39.99
13.75,72.75,3.0,59.0
21.52,168.66,2.0,147.14
18.54,203.14,8.0,184.6
17.88,107.78,2.0,89.9
13.03,111.43,3.0,98.4
25.82,169.62,3.0,143.8
12.79,37.78,3.0,24.99
14.85,172.62,2.0,157.77
17.67,77.57,1.0,59.9
14.65,63.65,1.0,49.0
13.56,106.66,2.0,93.1
7.54,47.53,1.0,39.99
31.12,91.08,1.0,59.96
18.3,42.2,2.0,23.9
23.15,73.15,2.0,50.0
7.74,76.74,1.0,69.0
23.78,163.78,1.0,140.0
12.78,81.78,1.0,69.0
16.0,175.95,3.0,159.95
13.92,142.92,2.0,129.0
17.93,33.83,1.0,15.9
18.28,43.28,1.0,25.0
12.86,40.76,1.0,27.9
15.56,40.55,4.0,24.99
16.0,193.9,4.0,177.9
9.06,132.05,1.0,122.99
16.12,76.02,4.0,59.9
8.04,51.04,1.0,43.0
17.84,102.84,5.0,85.0
9.34,29.33,2.0,19.99
27.29,166.29,2.0,139.0
15.23,26.27,1.0,11.04
26.1,206.09,2.0,179.99
17.2,193.19,3.0,175.99
28.81,87.8,3.0,58.99
7.81,85.81,1.0,78.0
8.11,31.14,1.0,23.03
12.63,216.23,1.0,203.6
20.37,229.37,8.0,209.0
16.88,106.78,5.0,89.9
9.0,258.0,2.0,249.0
30.4,188.4,1.0,63.8
8.64,48.54,1.0,39.9
36.01,134.01,3.0,98.0
15.1,54.1,5.0,39.0
12.73,188.73,3.0,176.0
9.17,69.07,1.0,59.9
14.1,49.0,1.0,34.9
15.39,105.38,1.0,89.99
26.82,310.28,1.0,279.9
18.53,310.28,2.0,279.9
27.23,125.23,1.0,98.0
30.2,168.0,4.0,53.8
14.09,167.09,3.0,153.0
18.33,82.33,8.0,64.0
18.39,136.19,1.0,117.8
19.2,238.0,2.0,99.8
15.1,33.85,3.0,18.75
17.99,77.89,3.0,59.9
14.29,196.29,2.0,182.0
14.52,39.42,1.0,24.9
30.46,120.52,6.0,29.8
26.61,46.51,4.0,19.9
14.8,109.2,3.0,39.8
32.22,240.4,4.0,87.98
15.66,95.65,3.0,79.99
20.84,33.34,3.0,12.5
15.85,310.28,3.0,279.9
17.06,106.06,1.0,89.0
16.79,65.79,1.0,49.0
