order_item_count,total_freight_value,total_payment,payment_installments,total_price
1,7.88,96.88,2.0,89.0
2,14.78,132.64,1.0,51.54
1,15.46,1115.45,8.0,1099.99
1,11.74,44.73,2.0,32.99
1,16.45,115.45,2.0,99.0
1,33.73,132.73,10.0,99.0
1,52.99,175.98,3.0,122.99
1,18.29,167.29,3.0,149.0
1,21.12,111.02,3.0,89.9
1,14.93,103.93,4.0,89.0
1,14.52,49.51,4.0,34.99
1,17.88,107.87,2.0,89.99
1,7.39,22.39,2.0,15.0
1,16.93,86.83,1.0,69.9
1,7.78,20.03,1.0,12.25
1,16.2,366.19,2.0,349.99
1,17.37,157.27,2.0,139.9
1,8.11,38.01,1.0,29.9
1,14.05,112.05,1.0,98.0
1,23.27,91.04,2.0,67.77
1,18.63,93.63,4.0,75.0
3,35.55,374.85,6.0,89.4
1,22.27,71.26,7.0,48.99
1,34.68,204.58,4.0,169.9
1,17.99,123.89,8.0,105.9
4,181.76,777.76,8.0,596.0
1,12.69,48.68,2.0,35.99
1,14.1,53.1,1.0,39.0
1,88.24,347.24,10.0,259.0
1,19.73,89.63,3.0,69.9
1,8.72,65.71,2.0,56.99
2,23.46,286.52,10.0,119.8
6,48.12,1716.12,3.0,237.9
1,12.69,38.59,1.0,25.9
1,17.7,225.03,3.0,207.33
1,12.25,119.25,1.0,107.0
1,15.15,72.14,7.0,56.99
1,19.87,109.77,1.0,89.9
1,23.21,411.21,1.0,388.0
1,20.84,59.74,3.0,38.9
1,18.09,91.08,1.0,72.99
1,9.29,89.19,3.0,79.9
1,24.96,1347.96,8.0,1323.0
1,15.5,43.49,1.0,27.99
1,18.44,66.44,1.0,48.0
1,17.71,83.7,1.0,65.99
1,12.43,82.43,1.0,70.0
1,20.08,139.98,4.0,119.9
1,15.34,50.24,1.0,34.9
2,138.4,876.8,10.0,300.0
1,12.83,112.83,1.0,100.0
1,14.24,84.23,8.0,69.99
2,30.52,276.6,1.0,107.78
1,21.63,401.63,1.0,380.0
1,15.17,75.07,1.0,59.9
1,24.35,38.33,1.0,13.98
1,16.02,146.01,9.0,129.99
1,91.19,371.18,10.0,279.99
1,24.09,91.99,1.0,67.9
1,20.64,100.54,3.0,79.9
1,25.04,129.01,2.0,103.97
1,17.22,86.22,1.0,69.0
1,14.1,54.0,1.0,39.9
1,14.1,44.09,1.0,29.99
1,15.1,38.09,1.0,22.99
1,19.11,48.11,2.0,29.0
1,12.79,34.79,1.0,22.0
1,16.6,52.59,1.0,35.99
1,14.1,34.0,1.0,19.9
1,18.79,238.69,5.0,219.9
1,16.05,49.04,1.0,32.99
1,17.05,140.04,3.0,122.99
1,15.04,118.99,2.0,103.95
1,17.64,66.64,1.0,49.0
1,16.82,407.81,5.0,390.99
1,13.73,331.73,8.0,318.0
1,15.1,45.0,4.0,29.9
1,18.06,80.96,8.0,62.9
1,18.36,177.36,1.0,159.0
1,12.83,82.63,1.0,69.8
1,13.79,123.79,1.0,110.0
2,34.86,465.72,3.0,198.0
1,14.81,86.71,1.0,71.9
1,22.96,76.86,5.0,53.9
1,12.17,132.16,5.0,119.99
1,19.39,79.29,7.0,59.9
